mean_test_score,rank_test_score,param_regressor__learning_rate,param_regressor__min_samples_leaf,param_regressor__min_samples_split,param_regressor__n_estimators,param_regressor__subsample
-0.9855191630701041,104,0.001,5,0.1,300,0.8
-0.985521432163792,105,0.01,1,0.6,100,0.8
-0.9861454262401372,106,0.001,1,0.3,300,0.4
-0.9862676622714244,107,0.01,1,0.3,300,0.4
-0.9864097359012491,108,0.001,5,0.3,300,0.6
-0.9866068426508464,109,0.01,5,0.1,50,0.2
-0.9866123362547856,110,0.01,2,0.1,150,0.8
-0.9866679358976775,111,0.001,2,0.3,300,0.4
-0.9869421591564814,112,0.01,10,0.3,150,0.6
-0.9870638455490454,113,0.01,1,0.1,50,0.4
-0.9874574868229506,114,0.01,5,0.6,100,0.8
-0.9875019157286797,115,0.01,1,0.1,300,0.4
-0.9876761040336584,116,0.001,5,0.3,300,0.8
-0.9877681298764214,117,0.01,1,0.3,150,0.6
-0.9878070449432771,118,0.01,1,0.1,150,0.8
-0.9878696323427155,119,0.01,10,0.1,150,0.6
-0.9882276976029905,120,0.001,2,0.3,300,0.8
-0.9882335884986739,121,0.1,5,0.3,100,0.8
-0.9883056592295173,122,0.01,2,0.6,150,0.8
-0.9884007966710577,123,0.001,2,0.1,300,0.2
-0.9884040411065408,124,0.001,1,0.3,300,0.8
-0.9885318722307982,125,0.001,1,0.1,300,0.2
-0.9885421486347784,126,0.01,1,0.6,150,0.8
-0.9885685822935594,127,0.01,2,0.3,150,0.6
-0.9886980468827206,128,0.001,5,0.3,300,0.4
-0.9887838052544092,129,0.01,5,0.3,100,0.8
-0.9892559987110389,130,0.01,10,0.1,50,0.4
-0.9892559987110389,130,0.01,10,0.3,50,0.4
-0.9893217922584091,132,0.01,5,0.3,300,0.6
-0.9893930350313134,133,0.01,5,0.3,50,0.4
-0.9895046317706291,134,0.01,2,0.3,300,0.4
-0.9895879334130335,135,0.01,10,0.3,100,0.6
-0.9900232685238486,136,0.01,10,0.6,50,0.8
-0.990044407261361,137,0.01,1,0.6,50,0.8
-0.990044407261361,137,0.01,2,0.6,50,0.8
-0.9900813961958072,139,0.001,10,0.1,300,0.4
-0.9900813961958072,139,0.001,10,0.3,300,0.4
-0.9903307323586029,141,0.01,10,0.1,50,0.6
-0.9908377609474733,142,0.01,10,0.3,50,0.6
-0.9908845593076471,143,0.01,10,0.6,100,0.8
-0.9910168145787834,144,0.001,5,0.1,300,0.2
-0.9911527328528724,145,0.01,5,0.6,50,0.8
-0.9911712879948029,146,0.01,1,0.3,150,0.8
-0.9915682847770718,147,0.01,10,0.1,100,0.6
-0.9916143394104895,148,0.01,5,0.1,300,0.6
-0.9916375644985529,149,0.01,5,0.1,50,0.4
-0.9921355003669221,150,0.01,2,0.3,150,0.8
-0.9922465383217196,151,0.01,10,0.1,50,0.8
-0.9923800243845788,152,0.01,5,0.1,300,0.4
-0.9924740775994907,153,0.01,5,0.1,300,0.8
-0.9926901197497205,154,0.01,10,0.3,50,0.8
-0.9927340763692639,155,0.001,5,0.6,300,0.8
-0.9928267505285747,156,0.001,10,0.1,300,0.6
-0.9928989878384493,157,0.001,10,0.3,300,0.6
-0.9930001622989968,158,0.001,2,0.1,150,0.8
-0.9930196828687563,159,0.01,1,0.3,50,0.4
-0.9930498152595459,160,0.01,5,0.3,150,0.8
-0.9933147310879136,161,0.01,2,0.3,50,0.4
-0.9933401156149027,162,0.001,5,0.1,150,0.8
-0.9933531007332823,163,0.001,5,0.1,150,0.6
-0.9933609088437609,164,0.01,1,0.1,300,0.6
-0.9933817092068429,165,0.01,10,1.0,150,1
-0.9934236129453646,166,0.001,1,0.1,150,0.8
-0.9934511964835435,167,0.001,1,0.1,150,0.6
-0.9935886514218044,168,0.01,2,0.1,300,0.6
-0.9936788677131545,169,0.001,2,0.6,300,0.8
-0.9936788677131545,169,0.001,1,0.6,300,0.8
-0.9937546434271998,171,0.001,2,0.1,150,0.6
-0.9938431153961629,172,0.001,10,0.1,300,0.8
-0.9941214926134346,173,0.01,5,0.6,150,0.8
-0.9943574466755706,174,0.001,10,0.3,300,0.8
-0.9945397231157849,175,0.01,10,0.1,100,0.8
-0.994701482318917,176,0.001,1,0.3,150,0.6
-0.9947722621379274,177,0.001,2,0.3,150,0.6
-0.9947789493540983,178,0.001,5,0.1,150,0.4
-0.9948540614768268,179,0.001,1,0.1,150,0.2
-0.9948801436479429,180,0.001,2,0.1,150,0.2
-0.994915451030938,181,0.01,10,0.3,100,0.8
-0.9952038949364119,182,0.001,1,0.1,150,0.4
-0.9952162300759781,183,0.001,2,0.3,150,1
-0.9952526170805645,184,0.001,10,0.6,300,0.8
-0.995317919540376,185,0.001,10,0.3,150,1
-0.995413320717556,186,0.001,5,0.3,150,0.6
-0.995496746783162,187,0.001,5,0.3,150,0.8
-0.9956666943846348,188,0.001,2,0.1,150,0.4
-0.9956836615859977,189,0.001,1,0.3,150,1
-0.9963111321559539,190,0.01,10,0.1,150,0.8
-0.9963492277942544,191,0.001,1,0.3,150,0.4
-0.996372670617202,192,0.001,2,0.3,150,0.8
-0.9965279179878545,193,0.001,1,0.3,150,0.8
-0.9965648713754931,194,0.001,5,0.1,150,0.2
-0.9966911105458347,195,0.001,10,0.1,150,1
-0.9967037610314895,196,0.001,2,0.3,150,0.4
-0.9969897171460103,197,0.001,2,0.1,100,0.8
-0.9970707988080665,198,0.001,10,0.3,300,1
-0.9971554632905899,199,0.001,2,0.3,300,1
-0.9972206415509552,200,0.001,5,0.3,150,0.4
-0.9972793209150239,201,0.001,10,0.3,100,1
-0.9975242670082723,202,0.001,1,0.1,100,0.8
